"station","latitude","longitude","numDocks","timestamp","year","month","day","hour","weekday","weekhour","isHoliday","windMaxSpeed.m.s","windMeanSpeed.m.s","windDirection.grades","temperature.C","relHumidity.HR","airPressure.mb","precipitation.l.m2","bikes_3h_ago","full_profile_3h_diff_bikes","full_profile_bikes","short_profile_3h_diff_bikes","short_profile_bikes","Id"
8,39.474324,-0.375151,23,1405710000,2014,7,18,21,"Friday",116,0,27.4,16.1,67.5,25,82,1010.5,0,6,5.38719860665106,5.38752856676461,6.08618127786033,6.09955423476969,201097
110,39.48075,-0.336789,30,1401879600,2014,6,4,13,"Wednesday",60,0,7.4,3.2,141,26.1,50,998,0,30,11.1685283279595,11.1707822483164,8.04754829123328,8.04754829123328,201098
7,39.474715,-0.37932,20,1402650000,2014,6,13,11,"Friday",106,0,6.5,2.5,127,30.4,32,1005,0,2,5.23791588198368,5.23836147877681,5.0700325732899,5.07817589576547,201099
8,39.474324,-0.375151,23,1405368000,2014,7,14,22,"Monday",21,0,9.7,6.4,67.5,24,81,1015.5,0,3,5.3883904147062,5.38724498167697,6.31203566121842,6.27488855869242,201100
110,39.48075,-0.336789,30,1405170000,2014,7,12,15,"Saturday",134,0,19.3,9.7,337.5,25.8,48,1014.6,0,11,11.1400428030511,11.1395655036208,11.44279346211,11.4606240713224,201101
7,39.474715,-0.37932,20,1403442000,2014,6,22,15,"Sunday",158,0,2.2,0.2,331,25.3,64,1003,0,7,5.26697852674294,5.26729772368718,5.92345276872964,5.93322475570033,201102
8,39.474324,-0.375151,23,1.404e+09,2014,6,29,2,"Sunday",145,0,2.8,0.5,321,21,78,998,0,6,5.3723879763102,5.37273082723566,6.64657980456026,6.63355048859935,201103
7,39.474715,-0.37932,20,1402243200,2014,6,8,18,"Sunday",161,0,4.2,1,135,23.8,66,1003,0,8,5.23740554156171,5.23768099353288,4.60863095238095,4.59523809523809,201104
110,39.48075,-0.336789,30,1405656000,2014,7,18,6,"Friday",101,0,8,3.2,157.5,22.8,81,1014,0,6,11.1398845190108,11.1386483690029,12.1783060921248,12.2035661218425,201105
106,39.476713,-0.341369,25,1402081200,2014,6,6,21,"Friday",116,0,5,1.1,174,18.9,82,1002,0,NA,10.5006599713056,10.499024670109,7.61011904761905,7.59821428571429,201106
110,39.48075,-0.336789,30,1406610000,2014,7,29,7,"Tuesday",30,0,1.6,0,157.5,23.7,87,1008.1,0,27,11.2375557106803,11.2387266480567,13.9182763744428,13.9777117384844,201107
110,39.48075,-0.336789,30,1403514000,2014,6,23,11,"Monday",10,0,4.1,0.9,111,23.6,72,1005,0,22,11.0920452626246,11.0938203511932,7.57491856677524,7.59120521172638,201108
8,39.474324,-0.375151,23,1401807600,2014,6,3,17,"Tuesday",40,0,6.7,1.6,153,24.6,50,1001,0,8,5.33162324187226,5.33066328588717,5.77563150074294,5.77860326894502,201109
7,39.474715,-0.37932,20,1405944000,2014,7,21,14,"Monday",13,0,24.1,9.7,337.5,28.4,44,1014.5,0,3,5.24232563184727,5.2426937049287,4.70282317979198,4.71025260029718,201110
106,39.476713,-0.341369,25,1402794000,2014,6,15,3,"Sunday",146,0,4.1,0.9,291,23.8,34,999,0,7,10.4777113578138,10.4771770062607,7.90390879478827,7.93322475570033,201111
7,39.474715,-0.37932,20,1403658000,2014,6,25,3,"Wednesday",50,0,4.5,1.4,277,17.1,74,999,0,12,5.25956299500084,5.26078167115903,5.6742671009772,5.71661237785016,201112
7,39.474715,-0.37932,20,1405170000,2014,7,12,15,"Saturday",134,0,19.3,9.7,337.5,25.8,48,1014.6,0,14,5.23080722164298,5.23288347597103,4.9554234769688,5.0074294205052,201113
7,39.474715,-0.37932,20,1406376000,2014,7,26,14,"Saturday",133,0,16.1,8,0,27.8,64,1011.6,0,2,5.23175988791896,5.23245165113398,4.58989598811293,4.58841010401189,201114
106,39.476713,-0.341369,25,1401951600,2014,6,5,9,"Thursday",80,0,9.1,2.9,100,19.7,70,1003,0,1,10.4975273145486,10.4974417936189,7.61961367013373,7.63595839524517,201115
106,39.476713,-0.341369,25,1406502000,2014,7,28,1,"Monday",168,0,8,3.2,112.5,25.1,83,1012.2,0,2,10.4968002151116,10.4961290322581,11.4101040118871,11.3878157503715,201116
110,39.48075,-0.336789,30,1403604000,2014,6,24,12,"Tuesday",35,0,5.6,2,186,24.4,50,1002,0,6,11.0977625365415,11.0964424211769,7.76872964169381,7.68892508143322,201117
8,39.474324,-0.375151,23,1405638000,2014,7,18,1,"Friday",96,0,19.3,11.3,67.5,24.5,81,1014.9,0,2,5.38958208467281,5.38854995097505,6.20802377414562,6.20802377414562,201118
7,39.474715,-0.37932,20,1406628000,2014,7,29,12,"Tuesday",35,0,11.3,3.2,225,28.8,45,1009.5,0,2,5.2355056903586,5.23689153652123,4.89598811292719,4.93759286775632,201119
106,39.476713,-0.341369,25,1405710000,2014,7,18,21,"Friday",116,0,27.4,16.1,67.5,25,82,1010.5,0,13,10.4782040816327,10.4778563656148,10.961367013373,10.9182763744428,201120
106,39.476713,-0.341369,25,1406196000,2014,7,24,12,"Thursday",83,0,0,0,146.3,26.9,66.7,1008.2,0,17,10.4740140464614,10.4756683769916,10.7875185735513,10.8320950965825,201121
7,39.474715,-0.37932,20,1401807600,2014,6,3,17,"Tuesday",40,0,6.7,1.6,153,24.6,50,1001,0,9,5.24527323034356,5.24623984325477,4.80089153046062,4.81723625557207,201122
110,39.48075,-0.336789,30,1402650000,2014,6,13,11,"Friday",106,0,6.5,2.5,127,30.4,32,1005,0,13,11.1386178165839,11.138635326335,8.22638436482085,8.23615635179153,201123
7,39.474715,-0.37932,20,1404846000,2014,7,8,21,"Tuesday",44,0,20.9,8,22.5,24.1,77,1016.6,0,4,5.23890145039431,5.23905612526188,5.27424242424242,5.26395173453997,201124
7,39.474715,-0.37932,20,1406556000,2014,7,28,16,"Monday",15,0,25.7,12.9,0,28.1,70,1007.5,0,12,5.22930997420464,5.23091387739752,4.68796433878158,4.70876671619614,201125
7,39.474715,-0.37932,20,1405422000,2014,7,15,13,"Tuesday",36,0,16.1,8,22.5,27.1,63,1017.1,0,3,5.25315694527962,5.2530877691551,5.33135215453195,5.3075780089153,201126
110,39.48075,-0.336789,30,1404648000,2014,7,6,14,"Sunday",157,0,27.4,8,180,34.1,25,1009.5,0,10,11.1434340081867,11.1428413426976,11.1382113821138,11.1821138211382,201127
7,39.474715,-0.37932,20,1404306000,2014,7,2,15,"Wednesday",62,0,32.2,16.1,22.5,25.2,72,1001.3,0,15,5.24567647222377,5.24777629530798,5.33876221498371,5.38273615635179,201128
8,39.474324,-0.375151,23,1402023600,2014,6,6,5,"Friday",100,0,1.2,0.2,341,17.1,83,1001,0,0,5.33042279411765,5.32923677712054,5.85884101040119,5.85884101040119,201129
8,39.474324,-0.375151,23,1406610000,2014,7,29,7,"Tuesday",30,0,1.6,0,157.5,23.7,87,1008.1,0,0,5.38973312570477,5.38866222890273,5.91233283803863,5.91381872213967,201130
106,39.476713,-0.341369,25,1401753600,2014,6,3,2,"Tuesday",25,0,2.2,0.5,299,18.1,70,1006,0,1,10.5081049899048,10.5065167243368,7.53491827637444,7.53640416047548,201131
8,39.474324,-0.375151,23,1406178000,2014,7,24,7,"Thursday",78,0,6.4,1.6,157.5,22.1,82,1007.8,0,0,5.37966816191969,5.37870110222606,5.66121842496285,5.66716196136701,201132
110,39.48075,-0.336789,30,1402884000,2014,6,16,4,"Monday",3,0,4.4,1.5,16,20.2,58,1002,0,7,11.1199113031612,11.1187972489058,8.1156351791531,8.12540716612378,201133
110,39.48075,-0.336789,30,1406682000,2014,7,30,3,"Wednesday",50,0,4.8,1.6,112.5,22.3,69,1011.1,0,22,11.2507107225232,11.2520377520378,14.1084695393759,14.1619613670134,201134
110,39.48075,-0.336789,30,1405026000,2014,7,10,23,"Thursday",94,0,9.7,6.4,67.5,22.8,72,1016.1,0,22,11.1375460595061,11.1381130415659,10.9316493313522,11.0059435364042,201135
110,39.48075,-0.336789,30,1403622000,2014,6,24,17,"Tuesday",40,0,7.1,2.3,60,21.7,67,1000,0,0,11.0955993930197,11.0941678840319,7.64983713355049,7.62866449511401,201136
106,39.476713,-0.341369,25,1403604000,2014,6,24,12,"Tuesday",35,0,5.6,2,186,24.4,50,1002,0,7,10.4729623383924,10.4729418375948,8.93648208469055,8.90228013029316,201137
110,39.48075,-0.336789,30,1403262000,2014,6,20,13,"Friday",108,0,7,2.4,125,26.9,36,1003,0,7,11.0974961849319,11.0970166120466,7.69055374592834,7.60260586319218,201138
8,39.474324,-0.375151,23,1403406000,2014,6,22,5,"Sunday",148,0,0.7,0.1,290,19,79,1002,0,1,5.36846557266114,5.36723418649228,6.75407166123779,6.75081433224756,201139
7,39.474715,-0.37932,20,1401663600,2014,6,2,1,"Monday",168,0,1.8,0.3,116,18.2,72,1006,0,2,5.24358678067945,5.24340091260902,4.76374442793462,4.71916790490342,201140
8,39.474324,-0.375151,23,1403820000,2014,6,27,0,"Friday",95,0,3.8,1,75,21.6,77,1004,0,6,5.37337516808606,5.37248641684871,6.80618892508143,6.81270358306189,201141
110,39.48075,-0.336789,30,1405674000,2014,7,18,11,"Friday",106,0,12.9,4.8,0,26.4,72,1013.2,0,11,11.1388661983336,11.1399172473868,12.2095096582467,12.2659732540862,201142
7,39.474715,-0.37932,20,1401645600,2014,6,1,20,"Sunday",163,0,7,4,143,20.5,53,1005,0,0,5.24423510373924,5.24451120868962,4.76225854383358,4.76820208023774,201143
106,39.476713,-0.341369,25,1406484000,2014,7,27,20,"Sunday",163,0,27.4,12.9,67.5,26.3,79,1011,0,2,10.4987089833244,10.4977144393654,11.4947994056464,11.4368499257058,201144
8,39.474324,-0.375151,23,1406232000,2014,7,24,22,"Thursday",93,0,17.7,11.3,67.5,25.1,83,1007.8,0,5,5.38027864780214,5.38136370998218,5.56166419019316,5.60178306092125,201145
106,39.476713,-0.341369,25,1405872000,2014,7,20,18,"Sunday",161,0,20.9,9.7,202.5,33.3,20,1008.6,0,3,10.4704668838219,10.4696336499322,10.6359583952452,10.5720653789004,201146
106,39.476713,-0.341369,25,1404558000,2014,7,5,13,"Saturday",132,0,16.1,8,337.5,31.8,40,1014.5,0,1,10.4527831625588,10.4515503875969,9.30894308943089,9.24552845528455,201147
7,39.474715,-0.37932,20,1405926000,2014,7,21,9,"Monday",8,0,12.9,4.8,157.5,24.1,48,1016.4,0,0,5.2434221233657,5.24319340492461,4.71173848439822,4.70430906389302,201148
106,39.476713,-0.341369,25,1405494000,2014,7,16,9,"Wednesday",56,0,4.8,3.2,157.5,23.6,70,1017.7,0,12,10.4726180726181,10.4735262008734,10.554234769688,10.6092124814264,201149
106,39.476713,-0.341369,25,1402722000,2014,6,14,7,"Saturday",126,0,0.8,0.1,287,25.9,39,1002,0,3,10.4735252208606,10.4729344729345,7.59609120521173,7.60912052117264,201150
7,39.474715,-0.37932,20,1404252000,2014,7,2,0,"Wednesday",47,0,12.9,4.8,45,23.2,81,1000.1,0,7,5.246660730187,5.24681466644411,5.27687296416938,5.28501628664495,201151
106,39.476713,-0.341369,25,1405620000,2014,7,17,20,"Thursday",91,0,20.9,9.7,45,26,77,1014.1,0,7,10.479727520436,10.4795423590302,10.9806835066865,10.9687964338782,201152
110,39.48075,-0.336789,30,1404288000,2014,7,2,10,"Wednesday",57,0,17.7,8,67.5,24.2,73,1001.2,0,17,11.1437312270553,11.1448590335317,10.5032573289902,10.5179153094463,201153
106,39.476713,-0.341369,25,1403298000,2014,6,20,23,"Friday",118,0,2.2,0.5,340,21.2,75,1002,0,14,10.4609432363739,10.4608130999435,7.8599348534202,7.90228013029316,201154
106,39.476713,-0.341369,25,1406682000,2014,7,30,3,"Wednesday",50,0,4.8,1.6,112.5,22.3,69,1011.1,0,14,10.5081791364977,10.5090080428954,11.6062407132244,11.6537890044577,201155
